test_started_time,time,pos,char_orig,char_typed
14886,0,0,M,M
14886,212,1,e,e
14886,279,2,l,l
14886,257,3,b,b
14886,215,4,o,o
14886,162,5,u,u
14886,297,6,r,r
14886,283,7,n,n
14886,398,8,e,e
14886,194,9, , 
14886,233,10,r,r
14886,168,11,e,e
14886,216,12,l,l
14886,123,13,e,e
14886,214,14,a,a
14886,242,15,s,s
14886,79,16,e,e
14886,305,17, , 
14886,211,18,h,h
14886,91,19,o,o
14886,193,20,t,t
14886,109,21, , 
14886,242,22,p,p
14886,197,23,r,r
14886,171,24,i,i
14886,118,25,n,n
14886,372,26,t,t
14886,155,27,i,i
14886,91,28,n,n
14886,152,29,g,g
14886,112,30, , 
14886,204,31,s,s
14886,246,32,t,t
14886,88,33,e,e
14886,144,34,a,a
14886,217,35,m,m
14886,104,36, , 
14886,193,37,r,r
14886,82,38,e,e
14886,185,39,a,a
14886,223,40,l,l
14886,99,41, , 
14886,192,42,b,b
14886,171,43,a,a
14886,226,44,s,s
14886,102,45,i,i
14886,109,46,s,s
14886,156,47, , 
14886,227,48,d,d
14886,234,49,r,r
14886,98,50,i,i
14886,209,51,v,v
14886,98,52,e,e
14886,126,53, , 
14886,239,54,l,l
14886,87,55,i,i
14886,135,56,t,t
14886,99,57,e,e
14886,140,58,r,r
14886,151,59,a,a
14886,221,60,r,r
14886,187,61,y,y
14886,159,62, , 
14886,211,63,w,w
14886,170,64,h,h
14886,111,65,i,i
14886,172,66,t,t
14886,107,67,e,e
14886,103,68, , 
14886,309,69,n,n
14886,326,70,u,u
14886,337,71,t,t
14886,253,72,r,r
14886,99,73,i,i
14886,351,74,t,t
14886,98,75,i,i
14886,128,76,o,o
14886,190,77,n,n
14886,193,78, , 
14886,141,79,m,m
14886,153,80,o,o
14886,171,81,n,n
14886,115,82,i,i
14886,220,83,t,t
14886,109,84,o,o
14886,186,85,r,r
14886,143,86,i,i
14886,122,87,n,n
14886,125,88,g,g
14886,119,89, , 
14886,272,90,e,e
14886,229,91,x,x
14886,205,92,p,p
14886,275,93,l,l
14886,194,94,o,o
14886,175,95,r,r
14886,123,96,e,e
14886,156,97,r,r
14886,222,98, , 
14886,259,99,d,d
14886,128,100,o,o
14886,212,101,l,l
14886,188,102,l,l
14886,121,103,s,s
14886,151,104, , 
14886,255,105,m,m
14886,117,106,a,a
14886,177,107,d,d
14886,218,108,e,e
14886,97,109, , 
14886,235,110,h,h
14886,78,111,e,e
14886,172,112,a,a
14886,127,113,r,r
14886,233,114,d,d
14886,148,115, , 
14886,265,116,i,i
14886,269,117,t,t
14886,356,118,s,s
14886,95,119,e,e
14886,282,120,l,l
14886,372,121,f,f
14886,134,122,
, 
14886,360,123,s,s
14886,150,124,i,i
14886,536,125,m,m
14886,213,126,u,u
14886,179,127,l,l
14886,93,128,a,a
14886,138,129,t,t
14886,104,130,i,i
14886,125,131,o,o
14886,96,132,n,n
14886,157,133, , 
14886,193,134,g,g
14886,191,135,e,e
14886,71,136,n,n
14886,129,137,e,e
14886,158,138,r,r
14886,118,139,a,a
14886,185,140,t,t
14886,135,141,e,e
14886,166,142, , 
14886,399,143,p,p
14886,124,144,e,e
14886,183,145,n,n
14886,169,146, , 
14886,209,147,h,h
14886,106,148,o,o
14886,149,149,s,s
14886,117,150,t,t
14886,133,151,e,e
14886,234,152,d,d
14886,118,153, , 
14886,170,154,d,d
14886,195,155,e,e
14886,193,156,l,l
14886,131,157,i,i
14886,213,158,v,v
14886,93,159,e,e
14886,280,160,r,r
14886,109,161,e,e
14886,349,162,d,d
14886,140,163, , 
14886,199,164,c,c
14886,158,165,h,h
14886,80,166,a,a
14886,173,167,r,r
14886,191,168,i,i
14886,165,169,t,t
14886,131,170,y,y
14886,160,171, , 
14886,269,172,t,t
14886,129,173,h,h
14886,130,174,i,i
14886,209,175,r,r
14886,304,176,d,d
14886,118,177, , 
14886,309,178,r,r
14886,105,179,e,e
14886,233,180,d,d
14886,280,181,u,u
14886,277,182,c,c
14886,240,183,e,e
14886,256,184,d,d
14886,139,185, , 
14886,221,186,e,e
14886,163,187,n,n
14886,599,188,d,d
14886,235,189,e,e
14886,249,190,d,d
14886,137,191, , 
14886,134,192,w,w
14886,134,193,i,i
14886,114,194,n,n
14886,107,195,t,t
14886,119,196,e,e
14886,132,197,r,r
14886,121,198, , 
14886,205,199,r,r
14886,117,200,a,a
14886,191,201,n,n
14886,181,202,k,k
14886,232,203,i,i
14886,64,204,n,n
14886,185,205,g,g
14886,143,206,s,s
14886,142,207, , 
14886,286,208,g,g
14886,133,209,i,i
14886,161,210,f,f
14886,391,211,t,t
14886,109,212, , 
14886,350,213,p,p
14886,117,214,e,e
14886,589,215,n,n
14886,239,216,s,s
14886,80,217,i,i
14886,147,218,o,o
14886,58,219,n,n
14886,823,220, , 
